"Part";"Value";"Device";"Package";"Description";"ARROW_AMERICAS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";
"C1";"100nF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100uF";"CAP-US1206FAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"15pf";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"15pf";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GND1";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"POWER";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"";"40";"";
"Q5";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"Q6";"BCX70SMD";"BCX70SMD";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"R1";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R6";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R7";"1.2Mohm";"RES-US1206FAB";"R1206FAB";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R8";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R9";"1.5Mohm";"RES-US1206FAB";"R1206FAB";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R10";"10K";"RES-US1206FAB";"R1206FAB";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"10k";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"100ohm";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R21";"10k";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"10k";"RES-US1206";"R1206";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RTS";"FTDI-SMD-HEADER";"FTDI-SMD-HEADER";"1X06SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"Reset";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"GPIO0 Button";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SC_00";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_01";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_02";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_03";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_04";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_05";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_06";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_07";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"SC_08";"SC";"W237-103";"W237-103";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-103";"unknown";"18M7116";"";"5";"";
"U$1";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"SOT95P237X112-3N";"";"https://snapeda.com/shop?store=Arrow+Americas&id=4791194";"Unavailable";" IC REG LINEAR 3.3V 250MA SOT23-3 ";"https://snapeda.com/shop?store=DigiKey&id=4791194";"Microchip Technology";"https://snapeda.com/shop?store=Mouser&id=4791194";"MCP1700T-3302E/TT";"";"";"";"None";"";"None";
"U$3";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"DHT11 - digital humidity & temperature sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$14";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$15";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$16";"LED";"LED";"LED1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"Espressif Systems ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Y1";"ECS-.327-12.5-13X";"ECS-.327-12.5-13X";"XTAL_ECS-.327-12.5-13X";"Crystal  Cylindrical Can, Radial";"";"Unavailable";" 32.768kHz Â±20ppm Crystal 12.5pF 35 kOhms Cylindrical Can, Radial ";"";"ECS Inc.";"";"ECS-.327-12.5-13X";"";"";"";"Cylindrical Can Radial  ECS International";"";"None";
